pharmacy_name,medicine_name,quantity,latitude,longitude,last_reported,availability_status
CarePlus Pharmacy 90,Paracetamol,41,28.756086,77.162644,2026-06-10,Available
CarePlus Pharmacy 38,Insulin,1,28.634293,77.304902,2026-05-27,Not Available
LifePharm Pharmacy 2,Insulin,4,28.486499,77.139335,2026-06-10,Not Available
Apollo Pharmacy 110,Metformin,7,28.697438,77.358119,2026-06-19,Not Available
GreenCross Pharmacy 13,Insulin,67,28.54305,77.332929,2026-06-04,Available
PharmaHub Pharmacy 48,Amoxicillin,31,28.76179,77.238517,2026-05-23,Available
CarePlus Pharmacy 100,Azithromycin,65,28.648138,77.276082,2026-06-01,Available
Apollo Pharmacy 49,Omeprazole,2,28.731189,77.213443,2026-06-14,Not Available
HealthCare Pharmacy 105,Amoxicillin,119,28.639826,77.216502,2026-06-24,Available
HealthCare Pharmacy 11,Azithromycin,76,28.475869,77.196885,2026-05-16,Available
PharmaHub Pharmacy 95,Cetirizine,7,28.739193,77.108348,2026-06-21,Not Available
GreenCross Pharmacy 86,Paracetamol,7,28.51402,77.084154,2026-06-14,Not Available
CityMed Pharmacy 103,Cetirizine,2,28.566622,77.114447,2026-05-15,Not Available
HealthCare Pharmacy 17,Azithromycin,125,28.541302,77.213686,2026-06-16,Available
HealthCare Pharmacy 36,Insulin,7,28.470193,77.19399,2026-06-21,Not Available
CityMed Pharmacy 103,Paracetamol,105,28.566622,77.114447,2026-05-26,Available
LifePharm Pharmacy 73,Azithromycin,6,28.707231,77.160315,2026-05-15,Not Available
CarePlus Pharmacy 78,Cetirizine,4,28.478945,77.288496,2026-05-15,Not Available
CityMed Pharmacy 46,Amoxicillin,1,28.57622,77.25998,2026-05-30,Not Available
HealthCare Pharmacy 17,Metformin,23,28.541302,77.213686,2026-05-16,Available
Apollo Pharmacy 110,Paracetamol,0,28.697438,77.358119,2026-06-23,Not Available
Wellness Pharmacy 72,Insulin,6,28.634465,77.220973,2026-05-14,Not Available
LifePharm Pharmacy 56,Metformin,86,28.586014,77.269061,2026-06-03,Available
CarePlus Pharmacy 104,Azithromycin,5,28.666739,77.092802,2026-06-23,Not Available
Wellness Pharmacy 67,Metformin,44,28.690297,77.31233,2026-06-12,Available
LifePharm Pharmacy 56,Paracetamol,80,28.586014,77.269061,2026-05-21,Available
Wellness Pharmacy 51,Metformin,14,28.706759,77.172209,2026-05-22,Available
